sequence_id,nb_frames,hauteur_image,largeur_image,nb_personnes_detectees,vitesse_moyenne,zone_sensible,variation_mouvement,score_risque,classe,comportement
SEQ_0380,16,32,32,1,0.87,0,0.17,0.21,0,Normal
SEQ_0381,16,32,32,1,1.77,1,0.76,0.77,1,Suspect
SEQ_0382,16,32,32,1,1.04,0,0.21,0.29,0,Normal
SEQ_0383,16,32,32,1,1.62,1,0.63,0.86,1,Suspect
SEQ_0384,16,32,32,1,0.65,0,0.25,0.16,0,Normal
SEQ_0385,16,32,32,1,1.96,1,0.83,0.83,1,Suspect
SEQ_0386,16,32,32,2,0.86,0,0.06,0.27,0,Normal
SEQ_0387,16,32,32,1,1.63,1,0.78,0.93,1,Suspect
SEQ_0388,16,32,32,1,0.67,0,0.06,0.19,0,Normal
SEQ_0389,16,32,32,2,2.19,1,0.76,0.79,1,Suspect
SEQ_0390,16,32,32,1,0.71,0,0.15,0.2,0,Normal
SEQ_0391,16,32,32,1,2.16,1,0.83,0.76,1,Suspect
SEQ_0392,16,32,32,2,0.75,0,0.24,0.25,0,Normal
SEQ_0393,16,32,32,2,2.14,1,0.87,0.79,1,Suspect
SEQ_0394,16,32,32,1,0.77,0,0.22,0.26,0,Normal
SEQ_0395,16,32,32,1,1.72,1,0.79,0.87,1,Suspect
SEQ_0396,16,32,32,2,0.63,0,0.1,0.22,0,Normal
SEQ_0397,16,32,32,1,1.76,1,0.91,0.97,1,Suspect
SEQ_0398,16,32,32,1,0.96,0,0.13,0.09,0,Normal
SEQ_0399,16,32,32,1,1.85,1,0.56,0.89,1,Suspect
SEQ_0400,16,32,32,1,0.77,0,0.22,0.34,0,Normal
SEQ_0401,16,32,32,2,1.82,1,0.79,0.81,1,Suspect
SEQ_0402,16,32,32,1,0.74,0,0.08,0.05,0,Normal
SEQ_0403,16,32,32,1,1.67,1,0.91,0.89,1,Suspect
SEQ_0404,16,32,32,1,1.07,0,0.17,0.26,0,Normal
SEQ_0405,16,32,32,1,1.8,1,0.8,0.93,1,Suspect
SEQ_0406,16,32,32,1,0.83,0,0.11,0.14,0,Normal
SEQ_0407,16,32,32,1,2.24,1,0.94,0.86,1,Suspect
SEQ_0408,16,32,32,1,0.74,0,0.18,0.33,0,Normal
SEQ_0409,16,32,32,2,2.18,1,0.9,0.73,1,Suspect
SEQ_0410,16,32,32,1,0.9,0,0.22,0.25,0,Normal
SEQ_0411,16,32,32,1,2.21,1,0.86,0.81,1,Suspect
SEQ_0412,16,32,32,1,1.08,0,0.1,0.16,0,Normal
SEQ_0413,16,32,32,1,1.84,1,0.78,0.75,1,Suspect
SEQ_0414,16,32,32,1,0.9,0,0.13,0.28,0,Normal
SEQ_0415,16,32,32,1,1.83,1,0.84,0.86,1,Suspect
SEQ_0416,16,32,32,1,0.68,0,0.25,0.1,0,Normal
SEQ_0417,16,32,32,1,2.01,1,0.92,0.78,1,Suspect
SEQ_0418,16,32,32,3,0.95,0,0.24,0.19,0,Normal
SEQ_0419,16,32,32,1,1.83,1,0.9,0.7,1,Suspect
SEQ_0420,16,32,32,1,1.04,0,0.11,0.3,0,Normal
SEQ_0421,16,32,32,1,1.82,1,0.57,0.89,1,Suspect
SEQ_0422,16,32,32,1,0.87,0,0.09,0.06,0,Normal
SEQ_0423,16,32,32,1,2.05,1,0.6,0.78,1,Suspect
SEQ_0424,16,32,32,2,0.74,0,0.14,0.17,0,Normal
SEQ_0425,16,32,32,1,1.88,1,0.66,0.98,1,Suspect
SEQ_0426,16,32,32,1,0.92,0,0.17,0.15,0,Normal
SEQ_0427,16,32,32,1,2.13,1,0.74,0.79,1,Suspect
SEQ_0428,16,32,32,1,1.03,0,0.25,0.13,0,Normal
SEQ_0429,16,32,32,2,2.05,1,0.86,0.94,1,Suspect
SEQ_0430,16,32,32,1,0.94,0,0.17,0.05,0,Normal
SEQ_0431,16,32,32,1,2.1,1,0.67,0.77,1,Suspect
SEQ_0432,16,32,32,1,0.87,0,0.05,0.28,0,Normal
SEQ_0433,16,32,32,1,1.76,1,0.65,0.75,1,Suspect
SEQ_0434,16,32,32,1,1.08,0,0.13,0.33,0,Normal
SEQ_0435,16,32,32,1,1.77,1,0.75,0.74,1,Suspect
SEQ_0436,16,32,32,1,0.94,0,0.12,0.26,0,Normal
SEQ_0437,16,32,32,1,1.81,1,0.91,0.86,1,Suspect
SEQ_0438,16,32,32,1,0.81,0,0.07,0.07,0,Normal
SEQ_0439,16,32,32,1,1.68,1,0.64,0.72,1,Suspect
SEQ_0440,16,32,32,1,0.82,0,0.08,0.14,0,Normal
SEQ_0441,16,32,32,2,1.74,1,0.6,0.74,1,Suspect
SEQ_0442,16,32,32,2,0.77,0,0.14,0.28,0,Normal
SEQ_0443,16,32,32,1,2.09,1,0.91,0.85,1,Suspect
SEQ_0444,16,32,32,1,0.91,0,0.14,0.3,0,Normal
SEQ_0445,16,32,32,1,2.07,1,0.55,0.81,1,Suspect
SEQ_0446,16,32,32,1,0.65,0,0.21,0.3,0,Normal
SEQ_0447,16,32,32,1,2.1,1,0.91,0.86,1,Suspect
SEQ_0448,16,32,32,1,0.94,0,0.13,0.22,0,Normal
SEQ_0449,16,32,32,1,1.81,1,0.81,0.84,1,Suspect
SEQ_0450,16,32,32,1,0.74,0,0.2,0.09,0,Normal
SEQ_0451,16,32,32,1,1.97,1,0.55,0.92,1,Suspect
SEQ_0452,16,32,32,2,0.64,0,0.22,0.26,0,Normal
SEQ_0453,16,32,32,1,2.08,1,0.75,0.92,1,Suspect
SEQ_0454,16,32,32,2,0.82,0,0.12,0.15,0,Normal
SEQ_0455,16,32,32,1,1.95,1,0.75,0.81,1,Suspect
SEQ_0456,16,32,32,1,0.72,0,0.24,0.27,0,Normal
SEQ_0457,16,32,32,1,2.02,1,0.89,0.8,1,Suspect
SEQ_0458,16,32,32,2,0.84,0,0.14,0.3,0,Normal
SEQ_0459,16,32,32,1,2.2,1,0.83,0.85,1,Suspect
SEQ_0460,16,32,32,2,1.07,0,0.22,0.21,0,Normal
SEQ_0461,16,32,32,3,2.23,1,0.67,0.86,1,Suspect
SEQ_0462,16,32,32,2,0.71,0,0.08,0.33,0,Normal
SEQ_0463,16,32,32,1,1.63,1,0.78,0.88,1,Suspect
SEQ_0464,16,32,32,1,0.91,0,0.16,0.23,0,Normal
SEQ_0465,16,32,32,2,1.66,1,0.62,0.78,1,Suspect
SEQ_0466,16,32,32,1,0.83,0,0.17,0.34,0,Normal
SEQ_0467,16,32,32,1,1.73,1,0.66,0.96,1,Suspect
SEQ_0468,16,32,32,2,0.67,0,0.06,0.1,0,Normal
SEQ_0469,16,32,32,3,1.89,1,0.9,0.94,1,Suspect
SEQ_0470,16,32,32,2,0.87,0,0.1,0.2,0,Normal
SEQ_0471,16,32,32,2,2.26,1,0.71,0.84,1,Suspect
SEQ_0472,16,32,32,1,0.8,0,0.1,0.13,0,Normal
SEQ_0473,16,32,32,2,1.77,1,0.86,0.89,1,Suspect
SEQ_0474,16,32,32,1,0.97,0,0.14,0.1,0,Normal
SEQ_0475,16,32,32,1,2.22,1,0.8,0.73,1,Suspect
SEQ_0476,16,32,32,2,0.98,0,0.21,0.3,0,Normal
SEQ_0477,16,32,32,1,1.94,1,0.82,0.72,1,Suspect
SEQ_0478,16,32,32,1,0.86,0,0.09,0.13,0,Normal
SEQ_0479,16,32,32,2,1.76,1,0.69,0.81,1,Suspect
SEQ_0480,16,32,32,1,0.7,0,0.07,0.11,0,Normal
SEQ_0481,16,32,32,1,1.64,1,0.77,0.84,1,Suspect
SEQ_0482,16,32,32,1,0.77,0,0.16,0.07,0,Normal
SEQ_0483,16,32,32,1,1.89,1,0.61,0.85,1,Suspect
SEQ_0484,16,32,32,1,0.63,0,0.08,0.15,0,Normal
SEQ_0485,16,32,32,1,2.16,1,0.74,0.71,1,Suspect
SEQ_0486,16,32,32,1,1.05,0,0.06,0.15,0,Normal
SEQ_0487,16,32,32,1,2.0,1,0.59,0.96,1,Suspect
SEQ_0488,16,32,32,1,0.91,0,0.12,0.15,0,Normal
SEQ_0489,16,32,32,1,2.21,1,0.66,0.77,1,Suspect
SEQ_0490,16,32,32,3,0.69,0,0.11,0.13,0,Normal
SEQ_0491,16,32,32,1,2.21,1,0.66,0.93,1,Suspect
SEQ_0492,16,32,32,1,0.88,0,0.22,0.12,0,Normal
SEQ_0493,16,32,32,1,2.16,1,0.81,0.97,1,Suspect
SEQ_0494,16,32,32,1,0.67,0,0.06,0.15,0,Normal
SEQ_0495,16,32,32,1,2.03,1,0.58,0.83,1,Suspect
SEQ_0496,16,32,32,1,0.64,0,0.19,0.35,0,Normal
SEQ_0497,16,32,32,2,1.96,1,0.7,0.97,1,Suspect
SEQ_0498,16,32,32,1,1.08,0,0.13,0.14,0,Normal
SEQ_0499,16,32,32,1,1.65,1,0.93,0.86,1,Suspect
SEQ_0500,16,32,32,1,0.68,0,0.24,0.06,0,Normal
